Country.Name	Country.Code	X2019
Afghanistan	AFG	38041754
Albania	ALB	2854191
Algeria	DZA	43053054
American Samoa	ASM	55312
Andorra	AND	77142
Angola	AGO	31825295
Antigua and Barbuda	ATG	97118
Argentina	ARG	44938712
Armenia	ARM	2957731
Aruba	ABW	106314
Australia	AUS	25364307
Austria	AUT	8877067
Azerbaijan	AZE	10023318
Bahamas, The	BHS	389482
Bahrain	BHR	1641172
Bangladesh	BGD	163046161
Barbados	BRB	287025
Belarus	BLR	9466856
Belgium	BEL	11484055
Belize	BLZ	390353
Benin	BEN	11801151
Bermuda	BMU	63918
Bhutan	BTN	763092
Bolivia	BOL	11513100
Bosnia and Herzegovina	BIH	3301000
Botswana	BWA	2303697
Brazil	BRA	211049527
British Virgin Islands	VGB	30030
Brunei Darussalam	BRN	433285
Bulgaria	BGR	6975761
Burkina Faso	BFA	20321378
Burundi	BDI	11530580
Cabo Verde	CPV	549935
Cambodia	KHM	16486542
Cameroon	CMR	25876380
Canada	CAN	37589262
Cayman Islands	CYM	64948
Central African Republic	CAF	4745185
Chad	TCD	15946876
Channel Islands	CHI	172259
Chile	CHL	18952038
China	CHN	1397715000
Colombia	COL	50339443
Comoros	COM	850886
Congo, Dem. Rep.	COD	86790567
Congo, Rep.	COG	5380508
Costa Rica	CRI	5047561
Cote d'Ivoire	CIV	25716544
Croatia	HRV	4067500
Cuba	CUB	11333483
Curacao	CUW	157538
Cyprus	CYP	1198575
Czech Republic	CZE	10669709
Denmark	DNK	5818553
Djibouti	DJI	973560
Dominica	DMA	71808
Dominican Republic	DOM	10738958
Ecuador	ECU	17373662
Egypt, Arab Rep.	EGY	100388073
El Salvador	SLV	6453553
Equatorial Guinea	GNQ	1355986
Eritrea	ERI	NA
Estonia	EST	1326590
Eswatini	SWZ	1148130
Ethiopia	ETH	112078730
Faroe Islands	FRO	48678
Fiji	FJI	889953
Finland	FIN	5520314
France	FRA	67059887
French Polynesia	PYF	279287
Gabon	GAB	2172579
Gambia, The	GMB	2347706
Georgia	GEO	3720382
Germany	DEU	83132799
Ghana	GHA	30417856
Gibraltar	GIB	33701
Greece	GRC	10716322
Greenland	GRL	56225
Grenada	GRD	112003
Guam	GUM	167294
Guatemala	GTM	16604026
Guinea	GIN	12771246
Guinea-Bissau	GNB	1920922
Guyana	GUY	782766
Haiti	HTI	11263077
Honduras	HND	9746117
Hong Kong SAR, China	HKG	7507400
Hungary	HUN	9769949
Iceland	ISL	361313
India	IND	1366417754
Indonesia	IDN	270625568
Iran, Islamic Rep.	IRN	82913906
Iraq	IRQ	39309783
Ireland	IRL	4941444
Isle of Man	IMN	84584
Israel	ISR	9053300
Italy	ITA	60297396
Jamaica	JAM	2948279
Japan	JPN	126264931
Jordan	JOR	10101694
Kazakhstan	KAZ	18513930
Kenya	KEN	52573973
Kiribati	KIR	117606
Korea, Dem. Peopleâ€™s Rep.	PRK	25666161
Korea, Rep.	KOR	51709098
Kosovo	XKX	1794248
Kuwait	KWT	4207083
Kyrgyz Republic	KGZ	6456900
Lao PDR	LAO	7169455
Latvia	LVA	1912789
Lebanon	LBN	6855713
Lesotho	LSO	2125268
Liberia	LBR	4937374
Libya	LBY	6777452
Liechtenstein	LIE	38019
Lithuania	LTU	2786844
Luxembourg	LUX	619896
Macao SAR, China	MAC	640445
Madagascar	MDG	26969307
Malawi	MWI	18628747
Malaysia	MYS	31949777
Maldives	MDV	530953
Mali	MLI	19658031
Malta	MLT	502653
Marshall Islands	MHL	58791
Mauritania	MRT	4525696
Mauritius	MUS	1265711
Mexico	MEX	127575529
Micronesia, Fed. Sts.	FSM	113815
Moldova	MDA	2657637
Monaco	MCO	38964
Mongolia	MNG	3225167
Montenegro	MNE	622137
Morocco	MAR	36471769
Mozambique	MOZ	30366036
Myanmar	MMR	54045420
Namibia	NAM	2494530
Nauru	NRU	12581
Nepal	NPL	28608710
Netherlands	NLD	17332850
New Caledonia	NCL	287800
New Zealand	NZL	4917000
Nicaragua	NIC	6545502
Niger	NER	23310715
Nigeria	NGA	200963599
North Macedonia	MKD	2083459
Northern Mariana Islands	MNP	57216
Norway	NOR	5347896
Oman	OMN	4974986
Pakistan	PAK	216565318
Palau	PLW	18008
Panama	PAN	4246439
Papua New Guinea	PNG	8776109
Paraguay	PRY	7044636
Peru	PER	32510453
Philippines	PHL	108116615
Poland	POL	37970874
Portugal	PRT	10269417
Puerto Rico	PRI	3193694
Qatar	QAT	2832067
Romania	ROU	19356544
Russian Federation	RUS	144373535
Rwanda	RWA	12626950
Samoa	WSM	197097
San Marino	SMR	33860
Sao Tome and Principe	STP	215056
Saudi Arabia	SAU	34268528
Senegal	SEN	16296364
Serbia	SRB	6944975
Seychelles	SYC	97625
Sierra Leone	SLE	7813215
Singapore	SGP	5703569
Sint Maarten (Dutch part)	SXM	40733
Slovak Republic	SVK	5454073
Slovenia	SVN	2087946
Solomon Islands	SLB	669823
Somalia	SOM	15442905
South Africa	ZAF	58558270
South Sudan	SSD	11062113
Spain	ESP	47076781
Sri Lanka	LKA	21803000
St. Kitts and Nevis	KNA	52834
St. Lucia	LCA	182790
St. Martin (French part)	MAF	38002
St. Vincent and the Grenadines	VCT	110589
Sudan	SDN	42813238
Suriname	SUR	581363
Sweden	SWE	10285453
Switzerland	CHE	8574832
Syrian Arab Republic	SYR	17070135
Tajikistan	TJK	9321018
Tanzania	TZA	58005463
Thailand	THA	69625582
Timor-Leste	TLS	1293119
Togo	TGO	8082366
Tonga	TON	104494
Trinidad and Tobago	TTO	1394973
Tunisia	TUN	11694719
Turkey	TUR	83429615
Turkmenistan	TKM	5942089
Turks and Caicos Islands	TCA	38191
Tuvalu	TUV	11646
Uganda	UGA	44269594
Ukraine	UKR	44385155
United Arab Emirates	ARE	9770529
United Kingdom	GBR	66834405
United States	USA	328239523
Uruguay	URY	3461734
Uzbekistan	UZB	33580650
Vanuatu	VUT	299882
Venezuela, RB	VEN	28515829
Vietnam	VNM	96462106
Virgin Islands (U.S.)	VIR	106631
West Bank and Gaza	PSE	4685306
Yemen, Rep.	YEM	29161922
Zambia	ZMB	17861030
Zimbabwe	ZWE	14645468
